sample_id,tau_peak_MPa_csds,tau_r_MPa,delta_peak_mm,u_r_mm,CSDS_a,CSDS_b,CSDS_c,CSDS_d,CSDS_e,tau_peak_estimated,u_r_estimated,tau_r_estimated
190,17.57,15.660000000000002,2.95,4.833333333333333,15.660000000000002,101.4735138326025,1.0344827586206897,117.1335138326025,1.2552402344871445,0,0,0
191,1.15,0.5823333333333333,0.1,1.64,0.5823333333333333,0.7940046831018036,3.048780487804878,1.3763380164351369,43.545143227892716,0,0,0
192,5.06,2.78625,0.26,2.06,2.78625,4.779489592482995,2.4271844660194173,7.565739592482995,12.832648050854559,0,0,0
193,15.79,12.4225,0.48,3.91,12.4225,-6.046548337305279,1.278772378516624,6.37595166269472,,0,0,0
194,0.9,0.6583333333333333,0.47,1.5599999999999998,0.6583333333333333,1.514163839533559,3.2051282051282053,2.1724971728668923,6.680887657048879,0,0,0
195,5.79,4.2505,0.49,2.1875,4.2505,4.971593829106983,2.2857142857142856,9.222093829106983,9.622402350464242,0,0,0
196,17.51,14.9375,1.09,3.86,14.9375,-3.9673940353919246,1.2953367875647668,10.970105964608075,,0,0,0
197,0.99,0.65575,0.14,2.0725,0.65575,-0.18100500069250014,2.4125452352231607,0.4747449993074999,,0,0,0
198,5.46,4.44825,0.4,2.9125,4.44825,-2.3782047604266463,1.7167381974248928,2.0700452395733535,,0,0,0
199,17.29,16.490000000000002,2.66,4.3725000000000005,16.490000000000002,19.369497775084945,1.1435105774728416,35.85949777508495,2.1276767977194573,0,0,0
200,0.51,0.452,1.09,1.85,0.452,2.613210958236097,2.7027027027027026,3.065210958236097,3.352524212131433,0,0,0
201,3.73,3.372542584212134,4.54,28.00018033053748,3.372542584212134,-2.517323523151345,0.17857027851163207,0.8552190610607888,,0,1,1
202,13.66,13.51,5.68,6.0,13.51,40.12943839460961,0.8333333333333334,53.639438394609606,0.9818173352706089,0,0,0
203,0.64,0.4826666666666666,8.16,15.0,0.4826666666666666,9.536167568398536,0.3333333333333333,10.018834235065203,0.37471354977138105,0,0,0
204,1.15,0.9263333333333332,9.63,15.0,0.9263333333333332,27.966477706447353,0.3333333333333333,28.892811039780685,0.35965224230537884,0,0,0
205,1.67,1.391,8.17,15.0,1.391,11.570384152486735,0.3333333333333333,12.961384152486735,0.40325214722574865,0,0,0
206,2.36,1.9943333333333333,7.68,15.0,1.9943333333333333,10.304148628199325,0.3333333333333333,12.298481961532659,0.43637651323985405,0,0,0
207,2.87,2.478,12.65,17.5,2.478,76.32061600029743,0.2857142857142857,78.79861600029743,0.3049644887691842,0,0,0
208,0.0113,0.01175,0.47,3.75,0.01175,-0.01244395563893542,1.3333333333333333,-0.0006939556389354196,,0,0,0
209,0.015,0.014,0.55,3.75,0.014,-0.011721592379879653,1.3333333333333333,0.0022784076201203467,,0,0,0
210,0.017,0.0155,0.73,3.75,0.0155,-0.01125344959442371,1.3333333333333333,0.004246550405576289,,0,0,0
211,0.031,0.0205,0.73,3.75,0.0205,0.03164945621315382,1.3333333333333333,0.052149456213153825,4.9002105955174065,0,0,0
212,0.032,0.0305,0.56,4.25,0.0305,-0.027204077226206717,1.1764705882352942,0.003295922773793282,,0,0,0
