u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
13.0,1.139,1.94,1.479,1.6142343389282214,1.8574589142290376,1.9690871404566388
13.0,0.104,0.34,0.306,11.465962069935722,3.4214055644659322,0.5190663651323785
13.0,0.768,0.55,1.422,6.829794290098721,3.397003011538329,1.9475559560341753
13.0,1.547,1.07,2.417,3.0462519251595546,2.860784432993589,3.077486550294323
13.0,3.316,1.08,4.482,3.3738748448845737,2.958001331568359,5.418863699791772
15.0,0.136,0.1,0.367,56.09759499434641,3.2985793390424165,1.460740000979029
15.0,0.843,0.67,1.297,6.0080454699914485,2.7292064123213216,1.7651182181041858
15.0,2.23,0.78,3.232,5.115435733153055,2.84848631756034,4.1069743392962135
15.0,3.386,2.08,4.233,1.6219591173534793,1.6484825500575333,5.432684130060024
15.0,0.223,0.42,0.464,9.785018691865965,2.913149829014733,0.7560715509211501
15.0,0.812,1.34,1.532,2.118955632610797,2.202554702846577,2.1097871597667
15.0,1.821,1.56,2.845,1.917214666999875,2.1148578337277164,3.777968529188275
15.0,3.015,1.9,4.37,1.5540138559861083,1.9436630911961714,5.841661374661032
1.6652089623887931,1.3036485066778338,0.27,2.655,7.913618795998358,9.208741140376372,5.343803725103267
3.083720300719987,0.6555920235894309,0.5,2.417,3.420782268328867,8.274886245022074,4.789889467592069
1.7885577744175924,1.959240530267265,0.29,3.214,8.412171305906568,8.853983647210537,5.779136804962045
2.7136738646335887,1.959240530267265,0.44,3.179,5.589277438658442,7.7930630106197745,5.073078173713309
2.590325052604789,1.959240530267265,0.42,4.293,4.906645401620717,9.668696258177295,7.499795134905037
1.6652089623887931,0.6555920235894309,0.27,1.816,6.93036783035678,8.950439474331803,4.08602634829958
3.392092330791986,1.3488617496840016,0.55,3.752,3.397073578572742,8.859935291795097,6.873012817289914
7.400928721727968,0.0217962758401608,1.2,0.0307,2.3157906832156443,3.4509621065575646,0.04337713619198164
12.334881202879949,0.0508579769603752,2.0,0.131,0.9614433155844516,1.8291750904996447,0.24536409353847005
11.101393082591954,0.0145308505601072,1.8,0.046,0.9937795159488002,2.1324957639200055,0.08966249393327191
4.625580451079981,0.0153092991217785,0.75,0.055,2.2969478423570417,4.994424371088138,0.11046190823435005
5.612370947310377,0.0153092991217785,0.91,0.041,2.0818876302589207,4.376975311283625,0.07629789458553356
11.533113924692753,0.0153092991217785,1.87,0.046,0.9728764088168116,2.0147782412663977,0.08897277233257458
13.383346105124744,0.0153092991217785,2.17,0.042,0.8653228395367738,1.5794241953057537,0.08128800538070015
8.942788872087963,0.7935883525311068,1.45,1.14,1.879665749713435,2.9741991772948158,1.621722000106393
11.101393082591954,2.3726672172613705,1.8,3.8,1.379736428464202,2.6814379867115408,5.6859571240514395
6.784184661583972,0.5909609098097346,1.1,1.23,1.920963652491806,4.167668343690131,2.076162753312113
4.625580451079981,0.7727950359050375,0.75,0.94,4.459377299507828,5.075603563684078,1.2093760147530752
8.017672781871967,1.9806931592524069,1.3,3.7,1.723838260148718,4.248906500027188,5.901265456560834
9.25116090215996,0.5553062574145964,1.5,2.94,1.04691166819964,4.12313230498494,5.947249783984234
10.484649022447956,1.1106125148291928,1.7,1.47,1.7502458150213789,2.4283522995587927,1.991224895812451
0.6167440601439975,0.0796743371481683,0.1,0.08,77.68977402204777,8.386503033460858,2.9181054715569763
7.400928721727968,0.0202072594216368,1.2,0.024,2.9023919692701785,3.4478537847766244,0.029809524401795136
6.784184661583972,0.0202072594216368,1.1,0.025,2.9611290302817843,3.7390884587890847,0.03217245087949743
7.709300751799968,0.0398371685740841,1.25,0.047,2.820311710406355,3.3125758896002897,0.05802691660945373
