dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced
LOW_1,LOW_1_poly_rank_1,161,1.0274280774240634,0.9835536268681614,1.0274280774240627,0.982450612792609,2.9406232620961115,0.9435180697765948,0.1075208812278182,0.0498919564704683,0.0176813061092408,0.7517065182795134,161,0.9694637194434282,methodologie_1,,,,polynomial,5,21,delta_peak_mm + tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.0162508704520913,-0.9694637194434282,-71766.20317294927,5.0,5.0,4.0,1.0,3.9,5.0,5.0,5.0,3.35,3.0
LOW_1,LOW_1_exp_log_rank_2,162,3.3763781932221324,0.8214475365190741,3.376378193222133,0.8094657310054962,4.625042836762504,0.8626579549271893,0.1294173592361335,0.0689091033834763,0.0264548986066106,0.7516768879887264,162,0.9527426087657136,methodologie_1,,,,exponential,6,7,delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_tau_p + tau_r_div_u_r,0.0382967490295043,-0.9527426087657136,-66234.68631796044,6.0,6.0,6.0,5.0,5.75,6.0,5.999999999999999,6.0,5.6000000000000005,6.0
LOW_1,LOW_1_exp_log_rank_4,162,3.703675550158023,0.7851528770732144,3.703675550158024,0.7707355098082955,4.525653408698941,0.868497329329001,0.1346207060498017,0.0726212519641428,0.0324827535694225,0.7517339808309732,162,0.9488661605102728,methodologie_1,,,,exponential,6,7,delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + tau_p_x_tau_r + u_p_div_tau_p + tau_p_div_u_r,0.0450357149427685,-0.9488661605102728,-64957.51996772098,7.0,7.0,7.0,9.0,7.5,7.0,7.0,7.0,7.800000000000001,7.0
LOW_1,LOW_1_exp_log_rank_5,160,5.208478005000099,0.579749834602528,5.208478005000099,0.551707781361666,4.095927457857834,0.8931790085011995,0.1578376820696645,0.0811020649638177,0.0334555795455038,1.038151158390153,160,0.9299822628515068,methodologie_1,,,,exponential,6,7,delta_peak_mm + tau_r_MPa + tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,0.0438677567791085,-0.9299822628515068,-59064.01228264146,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
LOW_1,LOW_1_exp_log_rank_1,160,4.294509642106936,0.7144635282963827,4.294509642106936,0.6953989016032638,4.716329333968877,0.8583391289626107,0.1951032667461658,0.0821122945678758,0.0265393235301827,1.508155514352944,160,0.8894422931827894,methodologie_1,,,,exponential,6,7,delta_peak_mm + tau_peak_MPa_csds + tau_p_x_tau_r + u_p_div_tau_p + tau_r_div_u_r + sigma_n_div_u_p,0.0428155314117834,-0.8894422931827894,-52281.23419763282,9.0,9.0,9.0,7.0,8.5,9.0,9.0,9.0,8.200000000000001,9.0
LOW_1,LOW_1_exp_log_rank_3,161,3.470474750238531,0.8123887484556246,3.470474750238531,0.7998352347567059,4.479271646209569,0.8716658284443599,0.2104331462681527,0.07630853240838,0.0138620946330375,1.6099010181614262,161,0.8752865433922645,methodologie_1,,,,exponential,6,7,delta_peak_mm + tau_peak_MPa_csds + tau_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_r_div_u_r,0.0610754283715141,-0.8752865433922645,-50172.503173603036,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
LOW_1,LOW_1_exp_d_rank_3,153,43.60726361285365,-27.20314880392107,43.607263612853664,-29.115740745809116,4.708354993510743,0.8609487951225909,0.3053072508719389,0.0973926003505331,0.0332998872159321,2.668026410047714,153,0.7583264678033638,methodologie_1,,,,exponential,6,7,u_r_x_u_p + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_r_div_u_r,0.0993625832919753,-0.7583264678033638,-36290.95353962972,11.0,11.0,11.0,15.0,12.0,11.0,11.0,11.0,12.600000000000001,12.0
LOW_1,LOW_1_exp_d_rank_5,157,11.48514691088027,-1.0081449739290689,11.48514691088027,-1.142438041028972,7.344660598611962,0.6547746061828417,0.3222491311659125,0.1115250889276409,0.0497827496626701,2.3250999227389983,157,0.7281941416871693,methodologie_1,,,,exponential,6,7,tau_peak_MPa_csds + u_r_x_u_p + u_r_x_tau_r + u_p_div_u_r + u_r_div_tau_r + u_p_div_tau_p,0.0710778652908458,-0.7281941416871693,-35544.3053287181,12.0,12.0,12.0,13.0,12.25,12.0,11.999999999999998,12.0,12.400000000000002,11.0
LOW_1,LOW_1_exp_d_rank_2,157,25.120688122844022,-8.59930764840715,25.120688122844022,-9.244717040406943,5.461986499848025,0.8132131861160584,0.3597585817368108,0.1106988772201876,0.0377823235072973,3.226697275174673,157,0.6613422564617076,methodologie_1,,,,exponential,6,7,tau_peak_MPa_csds + u_r_x_u_p + u_p_div_u_r + u_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,0.0701098301561533,-0.6613422564617076,-32086.90613615871,13.0,13.0,13.0,12.0,12.750000000000002,13.0,13.0,13.0,12.600000000000001,12.0
LOW_1,LOW_1_exp_d_rank_1,156,23.6301029699707,-7.446258468767827,23.6301029699707,-8.012437693465376,6.35588979002138,0.7485059956107303,0.3688025464679325,0.112895119845403,0.0411384539978413,3.3042292641179527,156,0.6448365795833331,methodologie_1,,,,exponential,6,7,tau_peak_MPa_csds + u_r_x_u_p + u_p_div_u_r + u_r_div_tau_r + u_p_div_tau_p + tau_p_div_u_r,0.0620893399195517,-0.6448365795833331,-31107.80195345065,14.0,14.0,14.0,11.0,13.25,14.0,14.0,14.0,12.8,14.0
