dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced
LOW_1,LOW_1_exp_log_rank_3,159,5.871520181087506,0.4689326144820154,5.871520181087506,0.4335714618054418,4.233742571873281,0.886358772286463,0.1235850913692454,0.0632841619470609,0.0352315493029874,0.7500319795839494,159,0.9557880311363208,methodologie_1,,,,exponential,6,7,u_r_div_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_x_tau_r + tau_r_MPa + tau_peak_MPa_csds,0.0470925137105259,-0.9557880311363208,-66474.23943934086,7.0,7.0,7.0,6.0,6.75,7.0,7.0,7.0,6.6000000000000005,7.0
LOW_1,LOW_1_exp_log_rank_1,157,4.284100053685653,0.7203892207751894,4.284100053685653,0.7018163087638578,1.0923829461366297,0.9904752074360644,0.1326985620516977,0.0617613737107767,0.0165007952747466,0.8507915142489003,157,0.9540492943229356,methodologie_1,,,,exponential,5,6,tau_p_x_tau_r + u_p_div_tau_r + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,0.0595270287809882,-0.9540492943229356,-63405.79510418638,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
LOW_1,LOW_1_exp_log_rank_2,157,4.466329467698097,0.6960084398623161,4.466329467698097,0.6758890930325943,1.6507335031209829,0.978808906219982,0.1425306284744228,0.0676798642110746,0.0271570675290584,0.9375944614442202,157,0.9468074127736446,methodologie_1,,,,exponential,5,6,tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_u_r + u_p_div_tau_p + tau_r_MPa,0.0696262462813246,-0.9468074127736446,-61161.42333047565,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
LOW_1,LOW_1_exp_d_rank_2,153,20.643718208645293,-5.318850240524422,20.643718208645293,-5.747230296981042,5.132022371524844,0.8289155631822831,0.2926247056349886,0.0994118205268776,0.0313368764009981,2.6137973747259617,153,0.7710037771032183,methodologie_1,,,,exponential,6,7,u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_tau_p + sigma_n_div_u_p + u_r_x_u_p,0.0970758943135204,-0.7710037771032183,-37589.24206491316,10.0,10.0,10.0,14.0,11.0,10.0,10.0,10.0,11.600000000000001,12.0
LOW_1,LOW_1_exp_d_rank_4,152,19.24597704203071,-4.459433823864297,19.24597704203071,-4.825999577669972,5.391817588002423,0.8216825928851499,0.3412798823756998,0.1036584603100136,0.0288150081582542,3.2123759003328805,152,0.6869253543953902,methodologie_1,,,,exponential,6,7,u_p_div_tau_p + tau_p_div_u_r + u_r_x_u_p + sigma_n_div_u_p + u_p_div_u_r + u_r_div_tau_r,0.0840144278265082,-0.6869253543953902,-32667.584642728485,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0
LOW_1,LOW_1_exp_d_rank_3,157,25.120688122844022,-8.599307648407152,25.120688122844022,-9.244717040406949,5.461986499848024,0.8132131861160584,0.3597585817368113,0.1106988772201877,0.0377823235072973,3.2266972751746796,157,0.6613422564617067,methodologie_1,,,,exponential,6,7,u_r_div_tau_p + tau_peak_MPa_csds + tau_p_div_u_r + u_p_div_u_r + u_r_x_u_p + u_p_div_tau_p,0.0701098301561532,-0.6613422564617067,-32086.90613615867,12.0,12.0,12.0,10.0,11.5,12.0,11.999999999999998,12.0,11.200000000000001,11.0
LOW_1,LOW_1_exp_d_rank_5,153,10.919426746826687,-0.7690089438154117,10.91942674682669,-0.8875337603887299,5.658093140957362,0.803082882566079,0.3672262743928545,0.1088522591930446,0.0308989544099525,3.5242819493200037,153,0.6388973689832058,methodologie_1,,,,exponential,6,7,delta_peak_mm + u_r_div_tau_r + u_p_div_u_r + u_p_div_tau_p + sigma_n_x_u_r + tau_p_div_u_r,0.094111141625021,-0.6388973689832058,-30640.371000717103,13.0,13.0,13.0,13.0,13.000000000000002,13.0,13.0,13.0,13.0,13.0
LOW_1,LOW_1_exp_d_rank_1,157,6.193417026295819,0.4168294996437475,6.193417026295819,0.3775917233762603,5.662233274861665,0.7927029012949506,0.4841973489867341,0.1315743658490381,0.0416143635563396,4.96416913629142,157,0.3364803506788715,methodologie_1,,,,exponential,5,6,u_p_div_tau_p + tau_p_div_u_r + u_r_x_u_p + u_r_mm + u_p_div_u_r,0.0892482139388909,-0.3364803506788715,-22761.243726564946,14.0,14.0,14.0,12.0,13.5,14.0,14.0,14.0,13.200000000000001,14.0
LOW_2,LOW_2_poly_rank_1,69,3.5332055687553776,0.9781934564143752,3.533205568755378,0.977973463784426,0.5490930750421362,0.9836340124111638,0.3009472381985419,0.1715660413538135,0.0685427529284822,1.0477299962773918,69,0.8930107785626604,methodologie_1,,,,polynomial,4,15,u_r_div_u_p + u_p_div_u_r + tau_peak_MPa_csds + tau_r_div_tau_p,0.038416201388532,-0.8930107785626604,-16541.250661152062,1.0,1.0,2.0,2.0,1.35,1.0,1.0,1.0,1.4500000000000002,1.0
LOW_2,LOW_2_poly_rank_2,69,4.101977932368429,0.9706075586298982,4.10197793236843,0.9703110366041928,0.5669147504851407,0.9825544045093778,0.301054920621094,0.1692550651894294,0.0661048697550339,1.0477551131129272,69,0.8929342008889865,methodologie_1,,,,polynomial,3,10,u_p_div_u_r + tau_r_div_tau_p + tau_peak_MPa_csds,0.0205027821394948,-0.8929342008889865,-16546.351535750313,2.0,2.0,1.0,1.0,1.6500000000000001,2.0,2.0,2.0,1.5500000000000003,2.0
LOW_2,LOW_2_poly_rank_3,69,3.3280739776160004,0.9806520496589376,3.3280739776160027,0.9804568602442124,0.5565938125833235,0.9831838321871544,0.3015220375583896,0.1727465657083478,0.0712894139025315,1.047682564519454,69,0.892601696457045,methodologie_1,,,,polynomial,4,15,u_r_div_u_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,0.0451282561893831,-0.892601696457045,-16514.91825254013,3.0,3.0,3.0,4.0,3.25,3.0,2.9999999999999996,3.0,3.4000000000000004,3.0
LOW_2,LOW_2_exp_log_rank_1,69,8.965637256301186,0.8595856969959115,8.965637256301184,0.8581691445891042,1.6838070423305938,0.8461013084470064,0.3049992263943225,0.1924847204212302,0.1062788584114044,1.0467980675682764,69,0.8901103529585778,methodologie_1,,,,exponential,6,7,u_p_div_tau_p + tau_p_div_u_p + u_p_x_tau_p + tau_r_MPa + tau_r_div_tau_p + u_p_div_u_r,0.1069506068876351,-0.8901103529585778,-16372.739084576515,4.0,5.0,4.0,9.0,5.449999999999999,4.0,4.3,4.0,6.15,5.0
LOW_2,LOW_2_exp_log_rank_3,69,8.201826715245486,0.8824912516990149,8.201826715245486,0.8813057791604956,1.0030183531484624,0.945390519654542,0.3063895345777157,0.1931112218289491,0.103249555793242,1.0469892296359764,69,0.8891062278363644,methodologie_1,,,,exponential,6,7,u_r_x_tau_r + u_r_div_u_p + u_p_x_tau_p + u_p_div_u_r + tau_r_MPa + tau_r_div_tau_p,0.0903659310502452,-0.8891062278363644,-16309.976118596904,6.0,7.0,5.0,5.0,5.8500000000000005,5.0,6.299999999999999,6.0,5.7,4.0
