u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
4.333333333333333,0.0356666666666666,2.7,0.036,2.0063850757344786,2.246360583601845,0.04556612027653006
3.5,0.02125,0.75,0.022,6.637578410976577,5.871564543360422,0.024307759747176534
3.5,0.02,1.15,0.021,3.6113543932907137,4.85666631631163,0.025667964337799238
3.5,0.01925,1.1,0.02,4.054827267846036,4.973309286413494,0.023332813029066733
3.5,0.01875,1.25,0.019,4.418502888206739,4.631722679881607,0.020617090232731988
3.0,0.0456666666666666,0.7,0.059,3.9285722676402535,6.139452726451155,0.09252474333011829
3.75,0.03775,0.8,0.039,6.31959788609588,5.672164325786375,0.04270968128940306
3.75,0.03025,1.1,0.031,4.574641618565765,4.920066771169953,0.03416187637291593
3.0,0.4803333333333333,0.99,0.523,3.6102895519762694,5.3236209687733025,0.7218227133110315
3.0,0.87,1.49,0.929,2.4688599946843404,4.181046014554365,1.6150042444322927
3.5,1.2245,2.48,1.278,1.7047169871616714,2.5492834047347968,3.2771976793488373
3.0,0.5299999999999999,1.16,0.606,2.6762963684092975,4.90671392645583,1.0805491648600978
3.5,0.745,2.0,0.785,1.9471028822830023,3.2182943223413636,1.482826048646975
3.0,0.9266666666666667,1.84,1.067,1.8769974838423913,3.5360832612480837,4.070198972183072
3.5,1.435,2.5,1.53,1.6206039521105755,2.518371160037007,5.15174642640009
13.0,0.236,1.28,0.381,2.332154177278262,3.0352379139387375,0.4896934979571566
13.0,1.139,1.94,1.479,1.6142343389282214,2.1931552053392216,1.913300741031131
13.0,2.493,2.29,30.401,0.5794840127037909,1.3608967095975633,78.18793731393133
13.0,4.171,3.95,5.488,0.6512771868667829,0.8094260590609733,12.527450251685071
13.0,0.104,0.34,0.306,11.465962069935722,4.744939978977799,0.43240531479582023
13.0,0.768,0.55,1.422,6.829794290098721,4.243713244976681,1.7904396401933091
13.0,1.547,1.07,2.417,3.0462519251595546,3.28058255382926,2.9950521117768054
13.0,3.316,1.08,4.482,3.3738748448845737,3.193321003545516,5.339542782145766
15.0,0.136,0.1,0.367,56.09759499434641,4.879926071481869,1.0259869097451055
15.0,0.843,0.67,1.297,6.0080454699914485,3.686543300630515,1.5774248580538144
15.0,2.23,0.78,3.232,5.115435733153055,3.42699331676071,3.8766438582359553
15.0,3.386,2.08,4.233,1.6219591173534793,1.8296612346782724,5.316894476695689
15.0,0.223,0.42,0.464,9.785018691865965,4.188165668693499,0.6237813565348335
15.0,0.812,1.34,1.532,2.118955632610797,2.675885241765306,2.0251680111226023
15.0,1.821,1.56,2.845,1.917214666999875,2.3768505832095776,3.695884681894483
15.0,3.015,1.9,4.37,1.5540138559861083,1.9898471596117293,5.817608886683455
15.0,3.813,2.09,55.263,0.7174733228095233,1.051702476941633,137.7747468594275
1.6652089623887931,1.3036485066778338,0.27,2.655,7.913618795998358,7.749720278688836,6.012293887413991
3.083720300719987,0.6555920235894309,0.5,2.417,3.420782268328867,6.558050967147559,5.045364110176184
5.4273477292671775,2.848434309388562,0.88,5.477,2.5046228694450243,4.795565538130856,9.060967651100063
1.7885577744175924,1.959240530267265,0.29,3.214,8.412171305906568,7.590533576942978,6.366763517197048
2.7136738646335887,1.959240530267265,0.44,3.179,5.589277438658442,6.7986189287065,5.30203301544329
2.7136738646335887,2.848434309388562,0.44,5.856,4.832563228905287,6.6056184757903065,10.962031578877781
2.590325052604789,1.959240530267265,0.42,4.293,4.906645401620717,6.817387760793573,8.271053220733442
1.6652089623887931,0.6555920235894309,0.27,1.816,6.93036783035678,7.819984989736634,4.488296100228685
3.392092330791986,1.3488617496840016,0.55,3.752,3.397073578572742,6.230637578804419,7.2873155781565755
7.400928721727968,0.0217962758401608,1.2,0.0307,2.3157906832156443,4.016550330938142,0.04259833352387691
12.334881202879949,0.0508579769603752,2.0,0.131,0.9614433155844516,2.22486624798831,0.2373754046066814
11.101393082591954,0.0145308505601072,1.8,0.046,0.9937795159488002,2.5806030708032788,0.08720571487421436
