u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
2.19,1.52,4.53,3.98,88.46453784563569,2.068493150684932,62.72141842270064,Model_148
3.86,0.46,15.2,13.9425,16.525293456166363,3.937823834196891,-12.467229689796412,Model_148
1.85,1.14,0.47,0.4455,1.7090859558868448,0.254054054054054,2.308357957360199,Model_148
2.29,1.53,3.84,3.5879999999999996,24.817112109709115,1.6768558951965065,47.88493737906041,Model_148
1.5733333333333333,0.31,0.64,0.434,1.265446191232911,0.4067796610169492,2.5757144175693627,Model_148
2.0033333333333334,0.44,4.09,3.8813333333333335,4.6659060440256,2.0415973377703827,9.471910582314667,Model_148
4.125,2.56,14.35,13.695,46.93847166872315,3.4787878787878785,131.24796557188387,Model_148
1.5666666666666669,0.1,0.84,0.5786666666666667,0.969979146906758,0.5361702127659573,0.6973285884057319,Model_148
2.175,0.29,4.72,4.314,5.226790203475336,2.170114942528736,1.2152384738873323,Model_148
4.125,2.24,16.29,15.185,52.11991061368265,3.9490909090909088,121.17785657096682,Model_148
1.5666666666666669,0.15,1.04,0.515,1.533092129025739,0.6638297872340425,0.08034012313907013,Model_148
2.225,0.32,5.75,4.01075,8.603420753633683,2.5842696629213484,4.114000509948916,Model_148
3.925,0.98,16.9,13.655,31.07800532373415,4.305732484076433,27.514019066621202,Model_148
1.5666666666666669,0.12,1.33,0.569,1.854610634923335,0.8489361702127659,-1.567828827004515,Model_148
2.1775,0.38,5.29,3.8055,8.690271247786866,2.4293915040183696,7.461639423036452,Model_148
3.865,1.12,15.69,14.2025,23.533287016774107,4.059508408796895,40.910694657998675,Model_148
1.5599999999999998,0.11,1.19,0.5136666666666666,1.6038564251262817,0.7628205128205129,-1.1198182970187354,Model_148
2.175,0.33,5.38,4.15275,7.475845259507069,2.473563218390805,4.71476912468372,Model_148
4.6125,0.94,15.17,14.2325,17.463039541690666,3.288888888888889,14.892646125962713,Model_148
1.61,0.46,0.57,0.4153333333333333,1.634874209970707,0.3540372670807453,3.022468650086556,Model_148
2.1725,0.38,3.22,2.8175,4.027055137350846,1.4821634062140392,3.265521913360022,Model_148
7.0,6.69,11.06,11.03,17.799176332863528,1.58,106.14256877330605,Model_148
1.5566666666666666,0.15,0.88,0.5103333333333334,1.2184624851364736,0.5653104925053534,0.797154548345337,Model_148
2.175,0.24,5.1,3.69825,6.5752166070220195,2.344827586206897,-1.1018885703507983,Model_148
3.8575,0.47,14.84,13.285,16.560885261750222,3.847051198963059,-10.70524721732167,Model_148
2.1675,0.15,1.23,0.6225,1.584483302206824,0.5674740484429066,1.212693898072752,Model_148
2.165,0.25,6.22,4.547499999999999,8.101032108811562,2.8729792147806004,1.489852967499111,Model_148
4.1075,0.46,18.37,16.2525,20.456830792736472,4.472306755934267,-24.306714121901493,Model_148
1.5599999999999998,0.21,0.72,0.5333333333333333,0.9864172474962212,0.46153846153846156,1.9063943407856003,Model_148
2.215,0.46,4.54,3.755,6.8100946555112305,2.049661399548533,8.99129830367444,Model_148
4.84,3.02,14.29,13.226666666666668,80.84904894440885,2.9524793388429753,118.22907089038686,Model_148
1.5533333333333337,0.1,1.16,0.5640000000000001,1.476890584776652,0.7467811158798281,-1.1337545948332455,Model_148
2.16,0.28,4.98,3.80875,6.5294753448886285,2.305555555555556,1.195225113679193,Model_148
3.88,0.84,14.83,12.9825,20.314410697776193,3.8221649484536084,17.786249734897055,Model_148
1.5533333333333337,0.05,1.06,0.4603333333333333,1.1950471522283908,0.6824034334763948,-1.168623899292486,Model_148
2.1675,0.24,5.34,3.634,7.185284821064535,2.463667820069204,-0.7466386163488394,Model_148
3.8475,0.58,15.72,12.52,21.029190021060213,4.085769980506822,-3.791466674734437,Model_148
1.7866666666666664,0.16,1.46,0.5153333333333333,2.3069559990331303,0.8171641791044777,-0.6906555948496731,Model_148
2.19,0.34,5.86,3.70375,10.11140264472491,2.675799086757991,6.344867310424782,Model_148
3.9025,0.72,15.23,13.1975,19.745395084347095,3.9026265214606024,7.645157973394703,Model_148
1.5766666666666669,0.13,0.83,0.5316666666666667,1.0427208983166083,0.5264270613107821,0.9871274424107046,Model_148
2.195,0.33,4.91,4.2615,5.924419564940657,2.2369020501138954,3.434054665064046,Model_148
4.513333333333333,2.99,16.39,14.923333333333332,155.0246838057176,3.631462333825702,150.9703671818104,Model_148
1.5666666666666669,0.22,1.38,0.6789999999999999,2.6481572578488555,0.8808510638297871,-0.04159270019653327,Model_148
2.18,0.39,6.11,4.593,9.650943521426855,2.8027522935779814,10.839120964015862,Model_148
4.13,2.78,17.18,15.5675,188.7817161184181,4.159806295399516,171.08685865318637,Model_148
1.57,0.3,0.69,0.4403333333333333,1.4299397835360212,0.43949044585987257,2.408043604422226,Model_148
2.2025,0.38,4.61,3.49275,7.034502760595067,2.0930760499432464,5.357076796416159,Model_148
3.89,0.58,14.25,12.71,16.580375185655917,3.663239074550128,-1.3174664563693241,Model_148
