u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
3.0,0.87,1.49,0.929,2.4688599946843404,8.831772092558596,1.5769233826980638
3.5,1.2245,2.48,1.278,1.7047169871616714,8.100979120726151,3.073756425179917
3.0,0.5299999999999999,1.16,0.606,2.6762963684092975,8.831772092558596,1.0556103646566546
3.5,0.745,2.0,0.785,1.9471028822830023,8.100979120726151,1.4414706304816125
3.0,0.9266666666666667,1.84,1.067,1.8769974838423913,8.831772092558596,3.9396610379478507
3.5,1.435,2.5,1.53,1.6206039521105755,8.100979120726151,4.8139001772220205
13.0,0.236,1.28,0.381,2.332154177278262,1e-06,-0.7439766911118151
13.0,1.139,1.94,1.479,1.6142343389282214,1e-06,-1.673792404447746
13.0,2.493,2.29,30.401,0.5794840127037909,1e-06,-49.42714096654448
13.0,4.171,3.95,5.488,0.6512771868667829,1e-06,-2.8548252542655317
13.0,0.104,0.34,0.306,11.465962069935722,1e-06,-2.3923403010160476
13.0,0.768,0.55,1.422,6.829794290098721,1e-06,-6.690249749634905
13.0,1.547,1.07,2.417,3.0462519251595546,1e-06,-5.617259594233342
13.0,3.316,1.08,4.482,3.3738748448845737,1e-06,-9.869733177807342
15.0,0.136,0.1,0.367,56.09759499434641,1e-06,-11.058553157223532
15.0,0.843,0.67,1.297,6.0080454699914485,1e-06,-5.637100125096428
15.0,2.23,0.78,3.232,5.115435733153055,1e-06,-11.88675762424947
15.0,3.386,2.08,4.233,1.6219591173534793,1e-06,-5.07844559293888
15.0,0.223,0.42,0.464,9.785018691865965,1e-06,-3.32870798154404
15.0,0.812,1.34,1.532,2.118955632610797,1e-06,-3.4406992685394857
15.0,1.821,1.56,2.845,1.917214666999875,1e-06,-5.195405123820043
15.0,3.015,1.9,4.37,1.5540138559861083,1e-06,-6.299137113279356
15.0,3.813,2.09,55.263,0.7174733228095233,1e-06,-106.32649137199054
1.6652089623887931,1.3036485066778338,0.27,2.655,7.913618795998358,10.93072802454009,4.922310553048965
3.083720300719987,0.6555920235894309,0.5,2.417,3.420782268328867,8.707300955664214,4.755449791310427
5.4273477292671775,2.848434309388562,0.88,5.477,2.5046228694450243,5.566797323152864,8.910847841880937
1.7885577744175924,1.959240530267265,0.29,3.214,8.412171305906568,10.727729356568668,5.314470621133035
2.7136738646335887,1.959240530267265,0.44,3.179,5.589277438658442,9.263872247948314,4.889793892003064
2.7136738646335887,2.848434309388562,0.44,5.856,4.832563228905287,9.263872247948314,9.995611797782253
2.590325052604789,1.959240530267265,0.42,4.293,4.906645401620717,9.453074939174956,7.5285770768545985
1.6652089623887931,0.6555920235894309,0.27,1.816,6.93036783035678,10.93072802454009,3.7011331031196435
3.392092330791986,1.3488617496840016,0.55,3.752,3.397073578572742,8.256137857443516,6.92074784339601
7.400928721727968,0.0217962758401608,1.2,0.0307,2.3157906832156443,3.437212483720449,0.04340392894451475
12.334881202879949,0.0508579769603752,2.0,0.131,0.9614433155844516,0.17344957902692038,-0.39167862947117354
11.101393082591954,0.0145308505601072,1.8,0.046,0.9937795159488002,0.713470770304653,0.22619190011595044
4.625580451079981,0.0153092991217785,0.75,0.055,2.2969478423570417,6.5664519374339125,0.10633109477503629
5.612370947310377,0.0153092991217785,0.91,0.041,2.0818876302589207,5.34714457817614,0.07438993098812824
11.533113924692753,0.0153092991217785,1.87,0.046,0.9728764088168116,0.5035394552945274,0.6874166871010504
13.383346105124744,0.0153092991217785,2.17,0.042,0.8653228395367738,1e-06,-0.06030431557397286
8.942788872087963,0.7935883525311068,1.45,1.14,1.879665749713435,2.1011287756024553,1.761090297408822
11.101393082591954,2.3726672172613705,1.8,3.8,1.379736428464202,0.713470770304653,14.802167616313655
6.784184661583972,0.5909609098097346,1.1,1.23,1.920963652491806,4.052122497978875,2.0827981675984706
4.625580451079981,0.7727950359050375,0.75,0.94,4.459377299507828,6.5664519374339125,1.168008450137103
8.017672781871967,1.9806931592524069,1.3,3.7,1.723838260148718,2.8682890586112944,6.18236090740004
9.25116090215996,0.5553062574145964,1.5,2.94,1.04691166819964,1.8684019758408148,6.854947721337865
10.484649022447956,1.1106125148291928,1.7,1.47,1.7502458150213789,1.0524612496674326,3.074837249611018
10.484649022447956,2.2212250296583855,1.7,7.35,1.0379375597762583,1.0524612496674326,22.044642223907275
0.6167440601439975,0.0796743371481683,0.1,0.08,77.68977402204777,12.730485043773271,0.2172035857215915
7.400928721727968,0.0202072594216368,1.2,0.024,2.9023919692701785,3.437212483720449,0.02982380095701236
6.784184661583972,0.0202072594216368,1.1,0.025,2.9611290302817843,4.052122497978875,0.0318183307457913
7.709300751799968,0.0398371685740841,1.25,0.047,2.820311710406355,3.147002447522212,0.05852648451694993
