u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
3.5,0.01925,1.1,0.02,4.054827267846036,3.9510969728797605,0.024380594465532802
3.5,0.01875,1.25,0.019,4.418502888206739,3.9510969728797605,0.021144176617808316
3.0,0.0456666666666666,0.7,0.059,3.9285722676402535,6.418641762750532,0.0917806260303316
3.75,0.03775,0.8,0.039,6.31959788609588,2.9139084363642596,0.05766669438453742
3.75,0.03025,1.1,0.031,4.574641618565765,2.9139084363642596,0.04064482978019993
3.0,0.4803333333333333,0.99,0.523,3.6102895519762694,6.418641762750532,0.708916938702563
3.0,0.87,1.49,0.929,2.4688599946843404,6.418641762750532,1.5782148784098686
3.5,1.2245,2.48,1.278,1.7047169871616714,3.9510969728797605,3.079666623765932
3.0,0.5299999999999999,1.16,0.606,2.6762963684092975,6.418641762750532,1.0596285925647408
3.5,0.745,2.0,0.785,1.9471028822830023,3.9510969728797605,1.4508132008325199
3.0,0.9266666666666667,1.84,1.067,1.8769974838423913,6.418641762750532,3.940281997782052
3.5,1.435,2.5,1.53,1.6206039521105755,3.9510969728797605,4.822700111234434
13.0,0.236,1.28,0.381,2.332154177278262,4.074315522060552,0.477477506928365
13.0,1.139,1.94,1.479,1.6142343389282214,4.074315522060552,1.8574631513794944
13.0,0.104,0.34,0.306,11.465962069935722,4.074315522060552,0.467584264344504
13.0,0.768,0.55,1.422,6.829794290098721,4.074315522060552,1.8145397077840717
13.0,1.547,1.07,2.417,3.0462519251595546,4.074315522060552,2.9162142662168993
13.0,3.316,1.08,4.482,3.3738748448845737,4.074315522060552,5.178732777958797
15.0,0.136,0.1,0.367,56.09759499434641,4.122253696163689,1.1885002346493134
15.0,0.843,0.67,1.297,6.0080454699914485,4.122253696163689,1.5315691013253772
15.0,2.23,0.78,3.232,5.115435733153055,4.122253696163689,3.7233622835432505
15.0,3.386,2.08,4.233,1.6219591173534793,4.122253696163689,5.082235808084018
15.0,0.223,0.42,0.464,9.785018691865965,4.122253696163689,0.6281367982616033
15.0,0.812,1.34,1.532,2.118955632610797,4.122253696163689,1.9495879192394712
15.0,1.821,1.56,2.845,1.917214666999875,4.122253696163689,3.553025888527067
