No,L_m,JRC,JCS_MPa,delta_peak_mm,sigma_n_MPa,tau_peak_MPa,phi_deg,Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
124.0,0.06,6.7,173.0,0.72,20.0,15.23,31.0,2,4,4.61,5,13.63,13.14,13,13.02,15.23,3.9025,13.1975,0,0,0
125.0,0.05,11.0,173.0,0.13,0.5,0.83,31.0,1,1.73,2,,0.545,0.53,0.52,,0.83,1.5766666666666669,0.5316666666666667,0,0,0
126.0,0.05,8.8,173.0,0.33,5.0,4.91,31.0,1,2,2.78,3,4.465,4.389,4.11,4.082,4.91,2.195,4.2615,0,0,0
127.0,0.05,8.9,173.0,2.99,20.0,16.39,31.0,4,4.54,5,-,15.18,15.18,14.41,-,16.39,4.513333333333333,14.923333333333332,0,0,0
128.0,0.05,15.4,173.0,0.22,0.5,1.38,31.0,1,1.7,2,-,0.697,0.68,0.66,-,1.38,1.5666666666666667,0.6789999999999999,0,0,0
129.0,0.05,12.8,173.0,0.39,5.0,6.11,31.0,1,2,2.72,3,5.366,4.503,4.38,4.123,6.11,2.18,4.593,0,0,0
130.0,0.05,10.3,173.0,2.78,20.0,17.18,31.0,3,4,4.52,5,16.55,15.79,14.95,14.98,17.18,4.13,15.567499999999999,0,0,0
131.0,0.06,9.1,173.0,0.3,0.5,0.69,31.0,1,1.71,2,,0.457,0.42,0.444,-,0.69,1.57,0.4403333333333333,0,0,0
132.0,0.06,7.6,173.0,0.38,5.0,4.61,31.0,1,2,2.81,3,3.679,3.514,3.34,3.438,4.61,2.2025,3.49275,0,0,0
133.0,0.06,4.8,173.0,0.58,20.0,14.25,31.0,2,4,4.56,5,13.31,12.32,12.79,12.42,14.25,3.8899999999999997,12.71,0,0,0
134.0,0.06,10.8,173.0,0.29,0.5,0.81,31.0,1,1.78,2,-,0.672,0.71,0.672,-,0.81,1.5933333333333335,0.6846666666666668,0,0,0
135.0,0.06,8.1,173.0,0.42,5.0,4.74,31.0,1,2,2.77,3,4.567,4.541,3.98,3.932,4.74,2.1925,4.255,0,0,0
136.0,0.06,7.0,173.0,2.48,20.0,15.4,31.0,3,4,4.72,5,14.55,14.07,14.04,14.1,15.4,4.18,14.19,0,0,0
137.0,0.05,6.6,158.0,1.18,0.5,0.63,34.0,1.7,2,-,-,0.58,0.57,-,-,0.63,1.85,0.575,0,0,0
138.0,0.05,7.1,158.0,0.99,5.0,4.93,34.0,2,2.81,3,-,4.61,4.49,4.39,-,4.93,2.6033333333333335,4.496666666666667,0,0,0
139.0,0.05,7.3,158.0,1.92,20.0,17.14,34.0,3,4,4.85,5,16.7,16.56,16.57,16.41,17.14,4.2125,16.56,0,0,0
140.0,0.06,10.0,158.0,0.42,0.5,0.83,34.0,1,2,2.22,-,0.69,0.57,0.55,0,0.83,1.7400000000000002,0.4525,0,0,0
141.0,0.06,4.1,158.0,1.23,5.0,4.22,34.0,2,2.72,3,-,4.12,4.02,3.94,-,4.22,2.5733333333333337,4.026666666666666,0,0,0
142.0,0.06,3.2,158.0,1.79,20.0,15.01,34.0,3,5,5.36,6,14.59,15.77,14.8,14.45,15.01,4.84,14.9025,0,0,0
143.0,0.06,6.1,158.0,0.33,0.5,0.58,34.0,1,1.72,2,-,0.5,0.49,0.44,-,0.58,1.5733333333333333,0.4766666666666666,0,0,0
144.0,0.06,5.5,158.0,0.43,5.0,4.53,34.0,1,2,2.69,3,4.15,3.83,3.81,3.8,4.53,2.1725,3.8975,0,0,0
145.0,0.06,2.7,158.0,3.33,20.0,14.77,34.0,4,4.49,5,-,14.58,14.2,13.7,-,14.77,4.496666666666667,14.159999999999998,0,0,0
146.0,0.06,7.9,158.0,0.13,0.5,0.68,34.0,1,1.68,2,-,0.57,0.57,0.55,-,0.68,1.5599999999999998,0.5633333333333334,0,0,0
147.0,0.06,4.9,158.0,1.84,5.0,4.39,34.0,2,3,3.71,4,4.19,3.58,3.46,3.53,4.39,3.1775,3.69,0,0,0
148.0,0.06,4.2,158.0,2.23,20.0,15.49,34.0,3,4,5,5.51,14.7,14.9,14.91,14.99,15.49,4.3774999999999995,14.875,0,0,0
149.0,0.06,11.4,158.0,0.18,0.5,0.96,34.0,1,1.68,2,-,0.64,0.55,0.44,-,0.96,1.5599999999999998,0.5433333333333333,0,0,0
150.0,0.06,8.4,158.0,0.4,5.0,5.29,34.0,1,2,2.7,3,4.7,4.37,3.98,3.95,5.29,2.175,4.25,0,0,0
151.0,0.06,4.9,158.0,0.99,20.0,15.85,34.0,2,3,4.45,5,15.69,15.09,14.62,14.46,15.85,3.6125,14.965,0,0,0
152.0,0.05,7.2,158.0,1.16,0.5,0.64,34.0,1.8,2,-,-,0.55,0.53,-,-,0.64,1.9,0.54,0,0,0
153.0,0.05,4.0,158.0,1.3,5.0,4.2,34.0,2,2.7,3,-,4.01,3.89,3.9,-,4.2,2.566666666666667,3.9333333333333336,0,0,0
154.0,0.05,1.7,158.0,5.1,20.0,14.28,34.0,-,-,-,-,-,-,-,-,14.28,31.453947067343865,13.490170336848532,0,1,1
155.0,0.06,6.1,158.0,0.56,0.5,0.58,34.0,1,1.68,2,-,0.5,0.49,0.44,-,0.58,1.5599999999999998,0.4766666666666666,0,0,0
156.0,0.06,3.4,158.0,0.67,5.0,4.06,34.0,1,2,2.71,3,3.95,3.87,3.64,3.52,4.06,2.1775,3.745,0,0,0
157.0,0.06,1.9,158.0,1.32,20.0,14.36,34.0,2,4,4.6,5,13.69,13.56,13.63,13.49,14.36,3.9,13.592500000000001,0,0,0
158.0,0.06,12.7,176.0,0.17,0.5,1.0,31.0,1,1.87,2,-,0.635,0.56,0.521,-,1.0,1.6233333333333333,0.5720000000000001,0,0,0
159.0,0.06,9.3,176.0,0.32,5.0,5.06,31.0,1,2,2.73,3,4.53,4.08,4.01,3.859,5.06,2.1825,4.11975,0,0,0
160.0,0.06,4.9,176.0,1.07,20.0,14.3,31.0,2,4,4.58,5,14.13,12.66,12.72,12.5,14.3,3.895,13.002500000000001,0,0,0
161.0,0.06,9.4,206.0,0.1,0.5,0.85,35.0,1,1.7,2,-,0.647,0.56,0.546,-,0.85,1.5666666666666667,0.5843333333333334,0,0,0
162.0,0.06,9.7,206.0,0.24,5.0,6.09,35.0,1,2,2.7,3,4.494,4.443,4.37,4.329,6.09,2.175,4.409,0,0,0
163.0,0.06,5.1,206.0,0.5,20.0,16.89,35.0,2,4,4.45,5,15.73,15.26,15.01,14.93,16.89,3.8625,15.2325,0,0,0
164.0,0.06,9.4,206.0,0.07,0.5,0.85,35.0,1,1.67,2,-,0.647,0.56,0.546,-,0.85,1.5566666666666666,0.5843333333333334,0,0,0
165.0,0.06,9.0,206.0,0.23,5.0,5.85,35.0,1,2,2.67,3,4.722,4.595,4.25,4.164,5.85,2.1675,4.43275,0,0,0
166.0,0.06,5.1,206.0,0.75,20.0,16.87,35.0,2,4,4.45,5,16.54,15.53,15.63,15.48,16.87,3.8625,15.795,0,0,0
167.0,0.06,8.8,206.0,0.17,0.5,0.8,35.0,1,1.68,2,-,0.571,0.57,0.533,-,0.8,1.5599999999999998,0.5579999999999999,0,0,0
