sample_id,delta_peak_mm,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
304,1.87,0.046,11.533113924692753,0.0153092991217785,0,1,1
305,2.17,0.042,13.383346105124744,0.0153092991217785,0,1,1
306,0.33,0.184,2.035255398475192,210.0622614629129,0,1,1
307,0.65,0.308,4.008836390935984,350.10376910485485,0,1,1
308,1.96,0.777,12.088183578822347,700.2075382097097,0,1,1
309,2.71,303.0,16.71376402990233,1050.3113073145646,0,1,1
310,1.25,0.229,7.709300751799968,0.3967941762655534,0,1,1
311,1.45,1.14,8.942788872087963,0.7935883525311068,0,1,1
312,1.55,0.77,9.55953293223196,1.1822846884647102,0,1,1
313,1.55,0.57,9.55953293223196,1.5790788647302636,0,1,1
314,1.8,3.8,11.101393082591954,2.3726672172613705,0,1,1
315,0.25,0.233,1.5418601503599936,0.311715644734805,0,1,1
316,1.1,1.23,6.784184661583972,0.5909609098097347,0,1,1
317,0.75,0.94,4.625580451079981,0.7727950359050376,0,1,1
318,0.9,0.62,5.550696541295977,1.168933667755519,0,1,1
319,1.2,0.43,7.400928721727968,1.6884597423135277,0,1,1
320,1.3,3.7,8.017672781871967,1.9806931592524075,0,1,1
321,1.5,2.94,9.25116090215996,0.5553062574145965,0,1,1
322,1.7,1.47,10.484649022447956,1.110612514829193,0,1,1
323,1.7,7.35,10.484649022447956,2.221225029658386,0,1,1
324,2.2,3.675,13.568369323167945,4.442450059316772,0,1,1
325,2.4,2.45,14.801857443455935,6.6636750889751575,0,1,1
326,0.05,0.021,0.3083720300719987,0.0202072594216369,0,1,1
327,0.1,0.08,0.6167440601439975,0.0796743371481683,0,1,1
328,0.75,0.199,4.625580451079981,0.1991858428704208,0,1,1
329,1.2,0.024,7.400928721727968,0.0202072594216369,0,1,1
330,1.1,0.025,6.784184661583972,0.0202072594216369,0,1,1
331,1.25,0.047,7.709300751799968,0.0398371685740841,0,1,1
332,1.2,0.05,7.400928721727968,0.0398371685740841,0,1,1
333,1.6,0.093,9.86790496230396,0.0796743371481683,0,1,1
334,2.5,0.1,15.418601503599936,0.0796743371481683,0,1,1
335,1.8,0.233,11.101393082591954,0.1991858428704208,0,1,1
336,4.0,0.251,24.669762405759897,0.1991858428704208,0,1,1
337,1.13,0.045,6.96920787962717,0.0153092991217785,0,1,1
338,1.74,0.033,10.731346646505555,0.0153092991217785,0,1,1
339,2.13,0.035,13.136648481067144,0.0153092991217785,0,1,1
340,3.5,0.026,21.58604210503991,0.0153092991217785,0,1,1
341,1.13,0.055,6.96920787962717,0.0153092991217785,0,1,1
342,1.22,0.039,7.524277533756768,0.0153092991217785,0,1,1
343,1.45,0.034,8.942788872087963,0.0153092991217785,0,1,1
344,2.17,0.028,13.383346105124744,0.0153092991217785,0,1,1
345,0.6,0.062,3.700464360863984,0.0153092991217785,0,1,1
346,0.7,0.05,4.317208421007981,0.0153092991217785,0,1,1
347,0.9,0.034,5.550696541295977,0.0153092991217785,0,1,1
348,1.8,0.027,11.101393082591954,0.0153092991217785,0,1,1
349,1.13,0.043,6.96920787962717,0.0153092991217785,0,1,1
350,1.37,0.041,8.449393623972766,0.0153092991217785,0,1,1
351,1.67,0.032,10.299625804404757,0.0153092991217785,0,1,1
352,2.91,0.03,17.947252150190327,0.0153092991217785,0,1,1
353,0.9,0.037,5.550696541295977,0.0153092991217785,0,1,1
354,1.05,0.032,6.475812631511974,0.0153092991217785,0,1,1
355,1.15,0.028,7.09255669165597,0.0153092991217785,0,1,1
356,1.4,0.024,8.634416842015963,0.0153092991217785,0,1,1
357,0.75,0.028,4.625580451079981,0.0153092991217785,0,1,1
358,1.15,0.026,7.09255669165597,0.0153092991217785,0,1,1
359,1.1,0.024,6.784184661583972,0.0153092991217785,0,1,1
360,1.2,0.022,7.400928721727968,0.0153092991217785,0,1,1
361,0.4,4.334,2.46697624057599,1570.9810243983136,0,1,1
362,0.5,4.702,3.083720300719987,785.4905121991568,0,1,1
