u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
4.75,3.98,15.12,14.85,60.51147902358684,89.95882529483353
2.1775,0.28,5.16,3.81425,6.944681077528114,13.685634580813069
3.88,0.7,16.09,11.71,26.70369715320237,15.294964955682484
4.833333333333333,2.95,17.57,15.660000000000002,149.2033516563727,50.25086702306716
2.06,0.26,5.06,2.78625,8.323852820988881,13.649482792638372
3.91,0.48,15.79,12.4225,19.82682598861948,13.494153576147967
2.1875,0.49,5.79,4.2505,11.587462282580969,15.380651203673523
3.86,1.09,17.51,14.9375,31.490887035413166,19.052060234976377
2.9125,0.4,5.46,4.44825,6.882030880581543,13.87426414075786
4.3725000000000005,2.66,17.29,16.490000000000002,53.88926722177272,44.18079072359643
6.0,5.68,13.66,13.51,59.19426760374002,212.63324611822833
13.0,2.29,30.401,2.493,193.9802115140508,19.180551527132266
13.0,3.95,5.488,4.171,15.644466241634497,48.551908625187764
15.0,2.09,55.263,3.813,193.99512243089907,14.828666799564404
5.4273477292671775,0.88,5.477,2.848434309388562,11.6545172386138,15.115308545331333
2.7136738646335887,0.44,5.856,2.848434309388562,13.139359297289314,14.394890488297838
10.484649022447956,1.7,7.35,2.2212250296583855,22.381601780078316,16.55549730560111
