u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
2.215,0.46,4.54,3.755,6.8100946555112305,2.3009205598128375
4.84,3.02,14.29,13.226666666666668,80.84904894440885,67.69585317025421
1.5533333333333337,0.1,1.16,0.5640000000000001,1.476890584776652,0.8763453296822056
2.16,0.28,4.98,3.80875,6.5294753448886285,2.306619649297133
3.88,0.84,14.83,12.9825,20.314410697776193,31.488702892032585
1.5533333333333337,0.05,1.06,0.4603333333333333,1.1950471522283908,0.8346672530806621
2.1675,0.24,5.34,3.634,7.185284821064535,2.343209427929732
3.8475,0.58,15.72,12.52,21.029190021060213,30.635099119213823
1.7866666666666664,0.16,1.46,0.5153333333333333,2.3069559990331303,0.9102299765575601
2.19,0.34,5.86,3.70375,10.11140264472491,2.6601725731884702
3.9025,0.72,15.23,13.1975,19.745395084347095,32.515898118306396
1.5766666666666669,0.13,0.83,0.5316666666666667,1.0427208983166083,0.8389456624835571
2.195,0.33,4.91,4.2615,5.924419564940657,2.450078210440571
4.513333333333333,2.99,16.39,14.923333333333332,155.0246838057176,116.59648421065586
1.5666666666666669,0.22,1.38,0.6789999999999999,2.6481572578488555,0.9651358007313193
2.18,0.39,6.11,4.593,9.650943521426855,3.1394987863394697
4.13,2.78,17.18,15.5675,188.7817161184181,135.5791755941978
1.57,0.3,0.69,0.4403333333333333,1.4299397835360212,0.8743408373160338
2.2025,0.38,4.61,3.49275,7.034502760595067,2.18175486039011
3.89,0.58,14.25,12.71,16.580375185655917,24.968441769291967
1.5933333333333335,0.29,0.81,0.6846666666666668,1.087382853949383,0.9101175271381559
2.1925,0.42,4.74,4.255,5.8557301765707,2.480231221336258
4.18,2.48,15.4,14.19,76.53454554337887,76.9787317320617
1.85,1.18,0.63,0.575,4.814497230710774,1.2403239586080999
2.6033333333333335,0.99,4.93,4.496666666666667,9.455876145186672,3.192971307790112
4.2125,1.92,17.14,16.56,25.71881265970457,104.02607427200938
1.7400000000000002,0.42,0.83,0.4525,3.0411372580129137,0.9228148196892382
2.5733333333333337,1.23,4.22,4.026666666666666,7.74122003841179,3.0157790883089555
4.84,1.79,15.01,14.9025,15.792604092393107,54.47315074586313
1.5733333333333333,0.33,0.58,0.4766666666666666,0.8865267528928155,0.8744254277952853
2.1725,0.43,4.53,3.8975,6.138786714707432,2.3183321142542224
4.496666666666667,3.33,14.77,14.159999999999998,85.84575820940591,96.58988355456994
1.5599999999999998,0.13,0.68,0.5633333333333334,0.7585316073088083,0.824832665177253
3.1775,1.84,4.39,3.69,51.88152690534491,3.5944807676555754
4.3774999999999995,2.23,15.49,14.875,28.97795307840756,74.33850892820242
1.5599999999999998,0.18,0.96,0.5433333333333333,1.4698314803878656,0.8769455368207201
2.175,0.4,5.29,4.25,7.7298658017251105,2.67611380545968
3.6125,0.99,15.85,14.965,19.677295648967803,51.106868573934165
1.9,1.16,0.64,0.54,9.458859589233091,1.2194138755787975
2.566666666666667,1.3,4.2,3.9333333333333336,10.666176341529724,3.066124298495207
31.453947067343865,5.1,14.28,13.490170336848536,15.578009547900097,7.596660565992017
1.5599999999999998,0.56,0.58,0.4766666666666666,1.7197507584709593,0.9660772493463806
2.1775,0.67,4.06,3.745,5.907719354979028,2.348004695543645
3.9,1.32,14.36,13.5925,19.718523681195663,38.6043242643579
1.6233333333333333,0.17,1.0,0.5720000000000001,1.4469487231528226,0.8750075544676222
2.1825,0.32,5.06,4.11975,6.530332651104151,2.4575701449609224
3.895,1.07,14.3,13.0025,20.31787030166651,32.082011032030096
1.5666666666666669,0.1,0.85,0.5843333333333334,0.9821892769408712,0.8369616726307978
2.175,0.24,6.09,4.409,7.86013841211722,2.8743390280971344
3.8625,0.5,16.89,15.2325,18.887967066441504,48.64518703128791
1.5566666666666666,0.07,0.85,0.5843333333333334,0.935338137929958,0.8272825355957071
2.1675,0.23,5.85,4.43275,7.23422060168731,2.7703835892535813
3.8625,0.75,16.87,15.795,19.288556358159465,57.6769966859981
1.5599999999999998,0.17,0.8,0.5579999999999999,1.0533159279041486,0.8538396008394882
2.563333333333333,1.11,4.61,4.293333333333333,9.21138452802538,3.1404393084685105
4.553333333333334,3.93,16.61,16.513333333333332,30.711748245470854,216.32335792111584
1.5533333333333337,0.19,0.76,0.5436666666666666,1.0285202035428438,0.8551790831843871
