u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
1.6652089623887931,0.27,2.655,1.3036485066778338,5.913938435670004,1.5943944934041918,1.231041399987049,Model_147
3.083720300719987,0.5,2.417,0.6555920235894309,7.783373274827283,0.7837935235033082,2.694886915528362,Model_147
1.7885577744175924,0.29,3.214,1.959240530267265,5.94873324311999,1.7969785745649585,1.804078822284266,Model_147
2.7136738646335887,0.44,3.179,1.959240530267265,5.822995088811631,1.1714745981198598,2.9493529066810664,Model_147
2.590325052604789,0.42,4.293,1.959240530267265,10.103502878345669,1.6573209588823723,3.824627146404735,Model_147
1.6652089623887931,0.27,1.816,0.6555920235894309,4.99596556846492,1.090553822983809,1.0622945245644635,Model_147
3.392092330791986,0.55,3.752,1.3488617496840016,10.348266553301816,1.106101967196153,3.9739506273501837,Model_147
7.400928721727968,1.2,0.0307,0.0217962758401608,0.0486171675853816,0.0041481280463990435,0.06452643952176285,Model_147
12.334881202879949,2.0,0.131,0.0508579769603752,0.344386405973365,0.010620288744200805,-1.0459330089758136,Model_147
11.101393082591954,1.8,0.046,0.0145308505601072,0.1367379572450948,0.004143624107152137,-0.9200125070636878,Model_147
4.625580451079981,0.75,0.055,0.0153092991217785,0.1748236568431902,0.011890399611827873,1.073889014855499,Model_147
5.612370947310377,0.91,0.041,0.0153092991217785,0.1104746856350472,0.007305290470803338,0.6905969173148327,Model_147
11.533113924692753,1.87,0.046,0.0153092991217785,0.1327773504888432,0.0039885151833549985,-1.0133341005308534,Model_147
13.383346105124744,2.17,0.042,0.0153092991217785,0.1148672965647978,0.003138228636552811,-1.362840665187072,Model_147
8.942788872087963,1.45,1.14,0.7935883525311068,1.844695714389715,0.12747701151238658,1.093576088595476,Model_147
11.101393082591954,1.8,3.8,2.3726672172613705,6.873786646011853,0.34229938276474176,4.632670935163648,Model_147
6.784184661583972,1.1,1.23,0.5909609098097346,2.7859609573962865,0.1813040271390283,1.6647738628109643,Model_147
4.625580451079981,0.75,0.94,0.7727950359050375,1.247954429578691,0.2032177388203309,1.7910252998577496,Model_147
8.017672781871967,1.3,3.7,1.9806931592524069,7.687433215751687,0.4614805443751377,4.702753164191524,Model_147
9.25116090215996,1.5,2.94,0.5553062574145964,11.123585210138952,0.3177979532615814,3.5444345348424644,Model_147
10.484649022447956,1.7,1.47,1.1106125148291928,2.1678936482955633,0.14020497938010942,1.264028941044898,Model_147
0.6167440601439975,0.1,0.08,0.0796743371481683,0.080483435478867,0.1297134503108495,2.3184736046994807,Model_147
7.400928721727968,1.2,0.024,0.0202072594216368,0.0308724056592388,0.0032428362577712386,0.05644141006757364,Model_147
6.784184661583972,1.1,0.025,0.0202072594216368,0.0339263343000876,0.0036850412020127702,0.26108727093100503,Model_147
