sample_id,log_e_minus_c_csds,tau_r_div_tau_p,u_p_div_u_r,u_r_mm,u_r_x_u_p,tau_p_div_u_p,tau_r_MPa,tau_r_div_u_p,tau_p_div_u_r,tau_p_x_tau_r,tau_r_div_u_r
62,-0.16131961502360848,0.801169590643275,0.44375,1.6,1.136,1.6056338028169013,0.9133333333333334,1.2863849765258217,0.7124999999999999,1.0412000000000001,0.5708333333333334
63,0.958049732114719,0.930417495029821,0.3454545454545454,2.2,1.6720000000000002,6.618421052631579,4.68,6.157894736842104,2.286363636363636,23.540399999999998,2.127272727272727
64,-2.1047640521752737,0.8797229219143576,0.6618181818181819,4.125,11.26125,5.8168498168498175,13.97,5.117216117216118,3.84969696969697,221.8436,3.3866666666666667
65,-0.3070292067496939,0.6854460093896713,0.40212765957446805,1.5666666666666669,0.9870000000000001,2.253968253968254,0.9733333333333332,1.5449735449735447,0.9063829787234041,1.382133333333333,0.6212765957446806
66,2.103504282091175,0.8480000000000001,0.1563218390804598,2.175,0.7395,14.705882352941176,4.24,12.470588235294118,2.298850574712644,21.200000000000003,1.949425287356322
67,-0.9536121015489469,0.9789850212385423,0.6904411764705882,4.533333333333333,14.189333333333332,4.763578274760383,14.596666666666666,4.663471778487753,3.288970588235294,217.63629999999998,3.2198529411764705
68,0.8563972374169605,0.7974683544303797,0.31276595744680846,1.5666666666666669,0.7676666666666667,1.6122448979591837,0.63,1.2857142857142858,0.5042553191489362,0.49770000000000003,0.40212765957446805
69,-1.6201333219294116,0.8783068783068784,0.6584415584415584,2.566666666666667,4.337666666666667,2.9822485207100593,4.426666666666667,2.619329388560158,1.9636363636363634,22.3104,1.7246753246753246
70,-1.9514853433442252,0.926287925066178,0.6985074626865672,4.466666666666667,13.936000000000002,5.246794871794872,15.163333333333334,4.860042735042735,3.6649253731343285,248.2237666666667,3.394776119402985
71,2.6244610229523113,0.689655172413793,0.11489361702127658,1.5666666666666669,0.28200000000000003,4.833333333333334,0.6,3.3333333333333335,0.5553191489361702,0.522,0.38297872340425526
72,1.4952946343915932,0.7612745098039216,0.19310344827586207,2.175,0.9134999999999999,12.142857142857142,3.8825,9.244047619047619,2.344827586206897,19.800749999999997,1.7850574712643679
73,0.5158394382352884,0.8757406188281764,0.28311688311688316,3.85,4.1965,13.93577981651376,13.3025,12.204128440366972,3.9454545454545453,202.064975,3.455194805194805
74,0.8538384180941392,0.7676767676767677,0.29999999999999993,1.5666666666666669,0.7363333333333334,1.4042553191489364,0.5066666666666667,1.0780141843971633,0.4212765957446808,0.33440000000000003,0.3234042553191489
75,1.6348038006723784,0.9463443396226415,0.2620689655172414,2.175,1.2397499999999997,7.438596491228071,4.0125,7.039473684210527,1.949425287356322,17.013,1.8448275862068968
76,-3.499227182590651,0.8916107382550336,0.8787234042553191,4.7,19.411,3.607748184019371,13.285,3.2167070217917675,3.1702127659574466,197.94650000000001,2.826595744680851
77,2.445902365719663,0.5643939393939393,0.11489361702127658,1.5666666666666669,0.28200000000000003,4.888888888888889,0.4966666666666666,2.759259259259259,0.5617021276595744,0.4370666666666666,0.3170212765957446
78,-0.5985326760426795,0.8627002288329519,0.48701298701298695,2.566666666666667,3.2083333333333335,3.496,3.77,3.016,1.7025974025974024,16.4749,1.4688311688311688
